State FIPS Code,County FIPS Code,Postal Code,Name,"Poverty Estimate, All Ages",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, All Ages",90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Age 0-17",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Age 0-17",90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Age 5-17 in Families",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Age 5-17 in Families",90% CI Lower Bound,90% CI Upper Bound,Median Household Income,90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Age 0-4",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Age 0-4",90% CI Lower Bound,90% CI Upper Bound
29,125,MO,Maries County,1428,1125,1731,16.1,12.7,19.5,458,349,567,24,18.3,29.7,313,234,392,20.9,15.6,26.2,40165,36244,44086,.,.,.,.,.,.
29,127,MO,Marion County,4965,4154,5776,18,15.1,20.9,1709,1387,2031,25.8,20.9,30.7,1121,878,1364,23.3,18.3,28.3,42088,38514,45662,.,.,.,.,.,.
29,129,MO,Mercer County,549,428,670,15,11.7,18.3,196,147,245,22.1,16.6,27.6,140,104,176,20.7,15.3,26.1,38023,34145,41901,.,.,.,.,.,.
29,131,MO,Miller County,4303,3375,5231,17.4,13.7,21.1,1542,1176,1908,26.6,20.3,32.9,1073,812,1334,25.1,19,31.2,37360,33824,40896,.,.,.,.,.,.
29,133,MO,Mississippi County,3951,3248,4654,32.2,26.5,37.9,1249,973,1525,40.1,31.2,49,857,654,1060,39.5,30.2,48.8,30661,27905,33417,.,.,.,.,.,.
29,135,MO,Moniteau County,2008,1594,2422,13.9,11,16.8,786,603,969,20.2,15.5,24.9,555,423,687,19.4,14.8,24,47158,43104,51212,.,.,.,.,.,.
29,137,MO,Monroe County,1353,1079,1627,15.8,12.6,19,479,366,592,24.9,19,30.8,328,246,410,22.4,16.8,28,41376,37346,45406,.,.,.,.,.,.
29,139,MO,Montgomery County,1830,1434,2226,16.1,12.6,19.6,637,484,790,24.5,18.6,30.4,435,326,544,22.9,17.2,28.6,42105,37888,46322,.,.,.,.,.,.
29,141,MO,Morgan County,4112,3310,4914,20.7,16.7,24.7,1375,1048,1702,31.5,24,39,925,690,1160,29.4,21.9,36.9,36867,33271,40463,.,.,.,.,.,.
29,143,MO,New Madrid County,4160,3349,4971,23.3,18.8,27.8,1402,1077,1727,32.9,25.3,40.5,936,708,1164,29.6,22.4,36.8,34631,31696,37566,.,.,.,.,.,.
29,145,MO,Newton County,8198,6654,9742,14.3,11.6,17,2853,2118,3588,20.4,15.1,25.7,1950,1416,2484,18.9,13.7,24.1,45448,43333,47563,.,.,.,.,.,.
29,147,MO,Nodaway County,3949,3395,4503,20.2,17.4,23,645,513,777,17.4,13.8,21,423,327,519,15.9,12.3,19.5,42956,39041,46871,.,.,.,.,.,.
29,149,MO,Oregon County,2560,2004,3116,23.9,18.7,29.1,905,685,1125,38.2,28.9,47.5,605,446,764,35.3,26,44.6,29415,26680,32150,.,.,.,.,.,.
29,151,MO,Osage County,1358,1062,1654,10.2,8,12.4,414,315,513,13,9.9,16.1,281,211,351,11.7,8.8,14.6,51958,47327,56589,.,.,.,.,.,.
29,153,MO,Ozark County,2098,1639,2557,22.3,17.4,27.2,640,476,804,35,26,44,442,325,559,31.8,23.4,40.2,31025,27818,34232,.,.,.,.,.,.
29,155,MO,Pemiscot County,4998,4143,5853,28.7,23.8,33.6,1870,1460,2280,40.2,31.4,49,1316,1025,1607,39.8,31,48.6,32120,29736,34504,.,.,.,.,.,.
29,157,MO,Perry County,2194,1710,2678,11.6,9,14.2,729,554,904,16.3,12.4,20.2,496,370,622,14.9,11.1,18.7,50548,46329,54767,.,.,.,.,.,.
29,159,MO,Pettis County,7239,5961,8517,17.6,14.5,20.7,2700,2141,3259,26.4,20.9,31.9,1835,1435,2235,24.9,19.5,30.3,40038,36700,43376,.,.,.,.,.,.
29,161,MO,Phelps County,9019,7648,10390,21.6,18.3,24.9,2377,1865,2889,26.1,20.5,31.7,1547,1185,1909,23.7,18.1,29.3,40710,37079,44341,.,.,.,.,.,.
29,163,MO,Pike County,3058,2368,3748,18.9,14.6,23.2,1052,795,1309,26.7,20.2,33.2,735,545,925,25.8,19.1,32.5,44408,41629,47187,.,.,.,.,.,.
29,165,MO,Platte County,6487,5208,7766,6.9,5.5,8.3,2089,1619,2559,9.4,7.3,11.5,1380,1058,1702,8.4,6.5,10.3,70874,66817,74931,.,.,.,.,.,.
29,167,MO,Polk County,5348,4239,6457,18.1,14.3,21.9,1933,1471,2395,27.6,21,34.2,1328,996,1660,25.8,19.4,32.2,38344,35629,41059,.,.,.,.,.,.
29,169,MO,Pulaski County,6899,5501,8297,15.9,12.7,19.1,2194,1696,2692,18.6,14.4,22.8,1447,1096,1798,18.2,13.8,22.6,47227,43133,51321,.,.,.,.,.,.
29,171,MO,Putnam County,888,701,1075,18.6,14.7,22.5,279,212,346,27.7,21.1,34.3,194,146,242,25.3,19,31.6,34684,31321,38047,.,.,.,.,.,.
29,173,MO,Ralls County,1186,937,1435,11.6,9.2,14,368,279,457,16.7,12.7,20.7,250,188,312,15,11.3,18.7,51738,47258,56218,.,.,.,.,.,.
29,175,MO,Randolph County,4131,3305,4957,18.3,14.6,22,1419,1091,1747,26.3,20.2,32.4,979,741,1217,24.8,18.8,30.8,41346,37285,45407,.,.,.,.,.,.
29,177,MO,Ray County,3456,2973,3939,15.3,13.2,17.4,1047,846,1248,19.9,16.1,23.7,671,526,816,16.7,13.1,20.3,51986,47565,56407,.,.,.,.,.,.
29,179,MO,Reynolds County,1382,1069,1695,21.5,16.6,26.4,432,325,539,33.6,25.3,41.9,295,218,372,30.7,22.7,38.7,31820,28521,35119,.,.,.,.,.,.
29,181,MO,Ripley County,3466,2744,4188,25.1,19.9,30.3,1127,851,1403,36.9,27.9,45.9,738,542,934,34.7,25.5,43.9,30019,26992,33046,.,.,.,.,.,.
29,183,MO,St. Charles County,25281,21951,28611,6.8,5.9,7.7,8096,6748,9444,8.9,7.4,10.4,5350,4385,6315,7.9,6.5,9.3,74220,71273,77167,.,.,.,.,.,.
29,185,MO,St. Clair County,2002,1571,2433,21.7,17,26.4,597,450,744,33.8,25.5,42.1,411,307,515,31.6,23.6,39.6,33986,30685,37287,.,.,.,.,.,.
29,186,MO,Ste. Genevieve County,2310,1878,2742,13.1,10.6,15.6,718,559,877,18.5,14.4,22.6,489,378,600,16.9,13.1,20.7,46874,42875,50873,.,.,.,.,.,.
29,187,MO,St. Francois County,11974,9898,14050,20.3,16.8,23.8,3612,2794,4430,26.3,20.3,32.3,2393,1808,2978,23.7,17.9,29.5,40376,37517,43235,.,.,.,.,.,.
29,189,MO,St. Louis County,93882,84871,102893,9.6,8.7,10.5,30191,25645,34737,13.7,11.6,15.8,20483,16906,24060,12.6,10.4,14.8,60093,58388,61798,.,.,.,.,.,.
29,195,MO,Saline County,3574,2886,4262,16.3,13.2,19.4,1191,922,1460,23,17.8,28.2,782,586,978,21.1,15.8,26.4,41112,37826,44398,.,.,.,.,.,.
29,197,MO,Schuyler County,779,604,954,18.2,14.1,22.3,315,235,395,29.5,22,37,220,160,280,27.3,19.9,34.7,34644,31400,37888,.,.,.,.,.,.
29,199,MO,Scotland County,774,599,949,16.3,12.6,20,335,253,417,24.9,18.8,31,230,171,289,24.2,17.9,30.5,38281,34415,42147,.,.,.,.,.,.
29,201,MO,Scott County,7972,6689,9255,20.9,17.5,24.3,2821,2291,3351,31,25.2,36.8,1743,1360,2126,27.2,21.2,33.2,40532,37696,43368,.,.,.,.,.,.
29,203,MO,Shannon County,2324,1869,2779,28.2,22.7,33.7,865,690,1040,47.8,38.1,57.5,588,464,712,43.5,34.3,52.7,27382,24625,30139,.,.,.,.,.,.
29,205,MO,Shelby County,979,775,1183,16.6,13.1,20.1,324,251,397,24.1,18.7,29.5,214,160,268,21.5,16.1,26.9,42498,38535,46461,.,.,.,.,.,.
29,207,MO,Stoddard County,5577,4571,6583,19,15.6,22.4,1716,1339,2093,26.4,20.6,32.2,1125,859,1391,23.6,18,29.2,38329,35068,41590,.,.,.,.,.,.
29,209,MO,Stone County,4973,3978,5968,16.2,13,19.4,1488,1122,1854,27.9,21,34.8,1062,797,1327,26.4,19.8,33,40642,37446,43838,.,.,.,.,.,.
29,211,MO,Sullivan County,1113,867,1359,17.7,13.8,21.6,360,272,448,25,18.9,31.1,241,178,304,22.7,16.8,28.6,36642,33409,39875,.,.,.,.,.,.
29,213,MO,Taney County,9819,8270,11368,18.7,15.8,21.6,3235,2556,3914,28.7,22.7,34.7,2237,1753,2721,27.6,21.6,33.6,35731,32723,38739,.,.,.,.,.,.
29,215,MO,Texas County,5097,3974,6220,21.5,16.8,26.2,1752,1330,2174,32.8,24.9,40.7,1249,947,1551,32,24.3,39.7,33755,30359,37151,.,.,.,.,.,.
29,217,MO,Vernon County,3558,2772,4344,17.5,13.6,21.4,1316,995,1637,26.8,20.3,33.3,872,649,1095,24.3,18.1,30.5,40267,37762,42772,.,.,.,.,.,.
29,219,MO,Warren County,4222,3454,4990,12.8,10.5,15.1,1541,1197,1885,19.4,15.1,23.7,969,719,1219,16.5,12.3,20.7,52959,47679,58239,.,.,.,.,.,.
29,221,MO,Washington County,6088,5004,7172,25.5,21,30,2217,1799,2635,39.3,31.9,46.7,1476,1173,1779,35.4,28.1,42.7,34581,31699,37463,.,.,.,.,.,.
29,223,MO,Wayne County,3504,2778,4230,26.4,20.9,31.9,1112,852,1372,40.8,31.2,50.4,763,576,950,39.9,30.1,49.7,30721,28071,33371,.,.,.,.,.,.
29,225,MO,Webster County,6386,5164,7608,17.8,14.4,21.2,2783,2107,3459,28.1,21.3,34.9,1936,1438,2434,26.2,19.5,32.9,41561,38086,45036,.,.,.,.,.,.
29,227,MO,Worth County,313,245,381,15.5,12.1,18.9,87,66,108,20.8,15.8,25.8,58,43,73,20,14.9,25.1,38802,34794,42810,.,.,.,.,.,.
29,229,MO,Wright County,4096,3229,4963,22.7,17.9,27.5,1510,1115,1905,33.7,24.9,42.5,1046,762,1330,31.3,22.8,39.8,31600,28710,34490,.,.,.,.,.,.
29,510,MO,St. Louis city,88571,82486,94656,28.8,26.8,30.8,27003,23789,30217,42.9,37.8,48,18442,16178,20706,44.1,38.7,49.5,35681,34114,37248,.,.,.,.,.,.
